2025-05-13 10:42:15.992 [info] Using repo backend url https://repo42.cursor.sh
2025-05-13 10:42:17.804 [error] Failed to get git graph client
2025-05-13 10:47:19.806 [error] Failed to get git graph client
2025-05-13 10:52:19.806 [error] Failed to get git graph client
2025-05-13 10:57:19.808 [error] Failed to get git graph client
2025-05-13 11:02:19.808 [error] Failed to get git graph client
2025-05-13 11:07:19.809 [error] Failed to get git graph client
2025-05-13 11:12:19.808 [error] Failed to get git graph client
2025-05-13 11:17:19.810 [error] Failed to get git graph client
2025-05-13 11:22:19.812 [error] Failed to get git graph client
2025-05-13 11:27:19.815 [error] Failed to get git graph client
2025-05-13 11:32:19.815 [error] Failed to get git graph client
2025-05-13 11:37:19.816 [error] Failed to get git graph client
2025-05-13 11:42:19.817 [error] Failed to get git graph client
2025-05-13 11:47:19.818 [error] Failed to get git graph client
2025-05-13 11:52:19.819 [error] Failed to get git graph client
2025-05-13 11:57:19.819 [error] Failed to get git graph client
2025-05-13 12:02:19.822 [error] Failed to get git graph client
2025-05-13 12:07:19.824 [error] Failed to get git graph client
2025-05-13 12:12:19.826 [error] Failed to get git graph client
2025-05-13 12:17:19.826 [error] Failed to get git graph client
2025-05-13 12:22:19.827 [error] Failed to get git graph client
2025-05-13 12:27:19.827 [error] Failed to get git graph client
2025-05-13 12:32:19.829 [error] Failed to get git graph client
2025-05-13 12:37:19.909 [error] Failed to get git graph client
2025-05-13 12:42:19.828 [error] Failed to get git graph client
2025-05-13 12:47:19.831 [error] Failed to get git graph client
2025-05-13 12:52:19.833 [error] Failed to get git graph client
